2024-09-13T22:14:53.259Z - Tx: 0, Rate: 0.00 tx/s, Errors: {"unknown":1}
2024-09-13T22:17:34.143Z - Tx: 13, Rate: 0.08 tx/s, Errors: {"unknown":88}
2024-09-13T22:19:54.416Z - Tx: 1, Rate: 0.28 tx/s, Errors: {}
2024-09-13T22:33:47.562Z - Tx: 100, Rate: 9.56 tx/s, Errors: {}
2024-09-13T22:33:57.359Z - Tx: 200, Rate: 9.87 tx/s, Errors: {}
2024-09-13T22:34:07.557Z - Tx: 300, Rate: 9.85 tx/s, Errors: {}
2024-09-13T22:34:17.379Z - Tx: 400, Rate: 9.93 tx/s, Errors: {}
2024-09-13T22:34:27.537Z - Tx: 500, Rate: 9.91 tx/s, Errors: {}
2024-09-13T22:34:37.427Z - Tx: 600, Rate: 9.95 tx/s, Errors: {}
2024-09-13T22:34:47.520Z - Tx: 700, Rate: 9.94 tx/s, Errors: {}
2024-09-13T22:34:57.390Z - Tx: 800, Rate: 9.96 tx/s, Errors: {}
2024-09-13T22:35:07.396Z - Tx: 900, Rate: 9.97 tx/s, Errors: {}
2024-09-13T22:35:17.393Z - Tx: 1000, Rate: 9.97 tx/s, Errors: {}
2024-09-13T22:35:27.425Z - Tx: 1100, Rate: 9.97 tx/s, Errors: {}
2024-09-13T22:35:37.404Z - Tx: 1200, Rate: 9.97 tx/s, Errors: {}
2024-09-13T22:35:47.463Z - Tx: 1300, Rate: 9.97 tx/s, Errors: {}
2024-09-13T22:37:50.378Z - Tx: 700, Rate: 6.84 tx/s, Errors: {"unknown":2}
2024-09-13T22:39:21.805Z - Tx: 100, Rate: 4.91 tx/s, Errors: {}
2024-09-13T22:39:41.729Z - Tx: 200, Rate: 4.96 tx/s, Errors: {}
2024-09-13T22:40:02.041Z - Tx: 300, Rate: 4.95 tx/s, Errors: {}
2024-09-13T22:40:21.637Z - Tx: 400, Rate: 4.99 tx/s, Errors: {}
2024-09-13T22:40:41.916Z - Tx: 500, Rate: 4.98 tx/s, Errors: {}
2024-09-13T22:41:01.883Z - Tx: 600, Rate: 4.98 tx/s, Errors: {}
2024-09-13T22:41:21.785Z - Tx: 700, Rate: 4.99 tx/s, Errors: {}
2024-09-13T22:41:41.848Z - Tx: 800, Rate: 4.99 tx/s, Errors: {}
2024-09-13T22:42:02.326Z - Tx: 900, Rate: 4.98 tx/s, Errors: {}
2024-09-13T22:42:22.043Z - Tx: 1000, Rate: 4.99 tx/s, Errors: {}
2024-09-13T22:42:42.599Z - Tx: 1100, Rate: 4.97 tx/s, Errors: {}
2024-09-13T22:43:02.041Z - Tx: 1200, Rate: 4.99 tx/s, Errors: {}
2024-09-13T22:43:21.993Z - Tx: 1300, Rate: 4.99 tx/s, Errors: {}
2024-09-13T22:43:41.955Z - Tx: 1400, Rate: 4.99 tx/s, Errors: {}
2024-09-13T22:44:02.027Z - Tx: 1500, Rate: 4.99 tx/s, Errors: {}
2024-09-13T22:44:24.233Z - Tx: 1600, Rate: 4.96 tx/s, Errors: {"unknown":2}
2024-09-13T22:44:43.916Z - Tx: 1700, Rate: 4.96 tx/s, Errors: {"unknown":2}
2024-09-13T22:45:03.948Z - Tx: 1800, Rate: 4.97 tx/s, Errors: {"unknown":2}
2024-09-13T22:45:23.928Z - Tx: 1900, Rate: 4.97 tx/s, Errors: {"unknown":2}
2024-09-13T22:45:44.140Z - Tx: 2000, Rate: 4.97 tx/s, Errors: {"unknown":2}
2024-09-13T22:46:04.056Z - Tx: 2100, Rate: 4.97 tx/s, Errors: {"unknown":2}
2024-09-13T22:46:23.968Z - Tx: 2200, Rate: 4.97 tx/s, Errors: {"unknown":2}
2024-09-13T22:46:45.123Z - Tx: 2300, Rate: 4.96 tx/s, Errors: {"unknown":3}
2024-09-13T22:47:05.248Z - Tx: 2400, Rate: 4.96 tx/s, Errors: {"unknown":3}
2024-09-13T22:47:25.231Z - Tx: 2500, Rate: 4.96 tx/s, Errors: {"unknown":3}
2024-09-13T22:47:45.108Z - Tx: 2600, Rate: 4.97 tx/s, Errors: {"unknown":3}
2024-09-13T22:48:06.364Z - Tx: 2700, Rate: 4.95 tx/s, Errors: {"unknown":4}
2024-09-13T22:48:26.108Z - Tx: 2800, Rate: 4.96 tx/s, Errors: {"unknown":4}
2024-09-13T22:48:47.183Z - Tx: 2900, Rate: 4.95 tx/s, Errors: {"unknown":5}
2024-09-13T22:49:07.352Z - Tx: 3000, Rate: 4.95 tx/s, Errors: {"unknown":5}
2024-09-13T22:49:27.597Z - Tx: 3100, Rate: 4.95 tx/s, Errors: {"unknown":5}
2024-09-13T22:49:47.384Z - Tx: 3200, Rate: 4.95 tx/s, Errors: {"unknown":5}
2024-09-13T22:50:08.107Z - Tx: 3300, Rate: 4.95 tx/s, Errors: {"unknown":5}
2024-09-13T22:50:27.188Z - Tx: 3400, Rate: 4.96 tx/s, Errors: {"unknown":5}
2024-09-13T22:50:50.274Z - Tx: 3500, Rate: 4.94 tx/s, Errors: {"unknown":8}
2024-09-13T22:51:10.342Z - Tx: 3600, Rate: 4.94 tx/s, Errors: {"unknown":8}
2024-09-13T22:51:30.402Z - Tx: 3700, Rate: 4.94 tx/s, Errors: {"unknown":8}
2024-09-13T22:51:51.297Z - Tx: 3800, Rate: 4.94 tx/s, Errors: {"unknown":8}
2024-09-13T22:52:11.372Z - Tx: 3900, Rate: 4.94 tx/s, Errors: {"unknown":9}
2024-09-13T22:52:31.348Z - Tx: 4000, Rate: 4.94 tx/s, Errors: {"unknown":9}
2024-09-13T22:52:51.506Z - Tx: 4100, Rate: 4.94 tx/s, Errors: {"unknown":9}
2024-09-13T22:53:12.575Z - Tx: 4200, Rate: 4.93 tx/s, Errors: {"unknown":10}
2024-09-13T22:53:32.616Z - Tx: 4300, Rate: 4.94 tx/s, Errors: {"unknown":10}
2024-09-13T22:53:52.533Z - Tx: 4400, Rate: 4.94 tx/s, Errors: {"unknown":10}
2024-09-13T22:54:12.566Z - Tx: 4500, Rate: 4.94 tx/s, Errors: {"unknown":10}
2024-09-13T22:54:32.623Z - Tx: 4600, Rate: 4.94 tx/s, Errors: {"unknown":10}
2024-09-13T22:54:53.652Z - Tx: 4700, Rate: 4.94 tx/s, Errors: {"unknown":11}
2024-09-13T22:55:13.629Z - Tx: 4800, Rate: 4.94 tx/s, Errors: {"unknown":11}
2024-09-13T22:55:33.864Z - Tx: 4900, Rate: 4.94 tx/s, Errors: {"unknown":11}
2024-09-13T22:55:54.760Z - Tx: 5000, Rate: 4.93 tx/s, Errors: {"unknown":12}
2024-09-13T22:56:14.926Z - Tx: 5100, Rate: 4.93 tx/s, Errors: {"unknown":12}
2024-09-13T22:56:34.804Z - Tx: 5200, Rate: 4.94 tx/s, Errors: {"unknown":12}
2024-09-13T22:58:01.629Z - Tx: 5300, Rate: 4.65 tx/s, Errors: {"unknown":18}
2024-09-13T22:58:21.263Z - Tx: 5400, Rate: 4.66 tx/s, Errors: {"unknown":18}
2024-09-13T22:59:45.355Z - Tx: 5500, Rate: 4.42 tx/s, Errors: {"unknown":22}
2024-09-13T23:00:05.609Z - Tx: 5600, Rate: 4.43 tx/s, Errors: {"unknown":22}
2024-09-13T23:01:30.889Z - Tx: 5700, Rate: 4.22 tx/s, Errors: {"unknown":25}
2024-09-13T23:01:49.544Z - Tx: 5800, Rate: 4.24 tx/s, Errors: {"unknown":26}
2024-09-13T23:02:09.168Z - Tx: 5900, Rate: 4.25 tx/s, Errors: {"unknown":26}
2024-09-13T23:03:35.483Z - Tx: 6000, Rate: 4.07 tx/s, Errors: {"unknown":31}
2024-09-13T23:03:55.092Z - Tx: 6100, Rate: 4.08 tx/s, Errors: {"unknown":31}
2024-09-13T23:05:21.133Z - Tx: 6200, Rate: 3.92 tx/s, Errors: {"unknown":36}
2024-09-13T23:05:40.497Z - Tx: 6300, Rate: 3.94 tx/s, Errors: {"unknown":36}
2024-09-13T23:07:04.411Z - Tx: 6400, Rate: 3.80 tx/s, Errors: {"unknown":40}
2024-09-13T23:07:24.300Z - Tx: 6500, Rate: 3.82 tx/s, Errors: {"unknown":40}
2024-09-13T23:08:49.499Z - Tx: 6600, Rate: 3.69 tx/s, Errors: {"unknown":46}
2024-09-13T23:09:09.363Z - Tx: 6700, Rate: 3.71 tx/s, Errors: {"unknown":46}
2024-09-13T23:10:35.323Z - Tx: 6800, Rate: 3.59 tx/s, Errors: {"unknown":52}
2024-09-13T23:10:55.585Z - Tx: 6900, Rate: 3.60 tx/s, Errors: {"unknown":52}
2024-09-13T23:12:19.257Z - Tx: 7000, Rate: 3.50 tx/s, Errors: {"unknown":56}
2024-09-13T23:12:40.224Z - Tx: 7100, Rate: 3.52 tx/s, Errors: {"unknown":56}
2024-09-13T23:14:04.082Z - Tx: 7200, Rate: 3.42 tx/s, Errors: {"unknown":60}
2024-09-13T23:14:24.389Z - Tx: 7300, Rate: 3.44 tx/s, Errors: {"unknown":60}
2024-09-13T23:15:48.144Z - Tx: 7400, Rate: 3.35 tx/s, Errors: {"unknown":64}
2024-09-13T23:16:08.871Z - Tx: 7500, Rate: 3.37 tx/s, Errors: {"unknown":64}
2024-09-13T23:16:28.092Z - Tx: 7600, Rate: 3.38 tx/s, Errors: {"unknown":64}
2024-09-13T23:16:48.226Z - Tx: 7700, Rate: 3.40 tx/s, Errors: {"unknown":65}
2024-09-13T23:17:08.313Z - Tx: 7800, Rate: 3.41 tx/s, Errors: {"unknown":65}
2024-09-13T23:17:28.332Z - Tx: 7900, Rate: 3.42 tx/s, Errors: {"unknown":65}
2024-09-13T23:17:48.232Z - Tx: 8000, Rate: 3.44 tx/s, Errors: {"unknown":65}
2024-09-13T23:18:08.582Z - Tx: 8100, Rate: 3.45 tx/s, Errors: {"unknown":65}
2024-09-13T23:18:28.423Z - Tx: 8200, Rate: 3.46 tx/s, Errors: {"unknown":65}
2024-09-13T23:18:48.691Z - Tx: 8300, Rate: 3.48 tx/s, Errors: {"unknown":65}
2024-09-13T23:19:08.588Z - Tx: 8400, Rate: 3.49 tx/s, Errors: {"unknown":65}
2024-09-13T23:19:28.488Z - Tx: 8500, Rate: 3.50 tx/s, Errors: {"unknown":65}
2024-09-13T23:20:54.185Z - Tx: 8600, Rate: 3.42 tx/s, Errors: {"unknown":70}
2024-09-13T23:21:13.311Z - Tx: 8700, Rate: 3.44 tx/s, Errors: {"unknown":70}
2024-09-13T23:21:33.381Z - Tx: 8800, Rate: 3.45 tx/s, Errors: {"unknown":70}
2024-09-13T23:21:53.146Z - Tx: 8900, Rate: 3.46 tx/s, Errors: {"unknown":70}
